%JahrStadtteil,Bevölkerung Jahr,Bevölkerung Stadtteil,Bevölkerung,Bevölkerung männlich,Bevölkerung weiblich,Bevölkerung männlich (%),Bevölkerung weiblich (%),AKFrom,AKTo,AltersKlasse
2007Innenstadt-Ost,2007,Innenstadt-Ost,115,52,63,"0,45217391304348","0,54782608695652",0,2,-2
2008Innenstadt-Ost,2008,Innenstadt-Ost,123,62,61,"0,50406504065041","0,49593495934959",0,2,-2
2009Innenstadt-Ost,2009,Innenstadt-Ost,124,64,60,"0,51612903225806","0,48387096774194",0,2,-2
2010Innenstadt-Ost,2010,Innenstadt-Ost,139,77,62,"0,55395683453237","0,44604316546763",0,2,-2
2011Innenstadt-Ost,2011,Innenstadt-Ost,140,75,65,"0,53571428571429","0,46428571428571",0,2,-2
2012Innenstadt-Ost,2012,Innenstadt-Ost,129,73,56,"0,56589147286822","0,43410852713178",0,2,-2
2013Innenstadt-Ost,2013,Innenstadt-Ost,127,67,60,"0,52755905511811","0,47244094488189",0,2,-2
2014Innenstadt-Ost,2014,Innenstadt-Ost,107,61,46,"0,57009345794393","0,42990654205607",0,2,-2
2015Innenstadt-Ost,2015,Innenstadt-Ost,123,54,69,"0,4390243902439","0,5609756097561",0,2,-2
2016Innenstadt-Ost,2016,Innenstadt-Ost,152,68,84,"0,44736842105263","0,55263157894737",0,2,-2
2007Innenstadt-West,2007,Innenstadt-West,194,103,91,"0,53092783505155","0,46907216494845",0,2,-2
2008Innenstadt-West,2008,Innenstadt-West,205,106,99,"0,51707317073171","0,48292682926829",0,2,-2
2009Innenstadt-West,2009,Innenstadt-West,205,119,86,"0,58048780487805","0,41951219512195",0,2,-2
2010Innenstadt-West,2010,Innenstadt-West,188,99,89,"0,52659574468085","0,47340425531915",0,2,-2
2011Innenstadt-West,2011,Innenstadt-West,199,96,103,"0,48241206030151","0,51758793969849",0,2,-2
2012Innenstadt-West,2012,Innenstadt-West,207,105,102,"0,50724637681159","0,49275362318841",0,2,-2
2013Innenstadt-West,2013,Innenstadt-West,212,117,95,"0,55188679245283","0,44811320754717",0,2,-2
2014Innenstadt-West,2014,Innenstadt-West,216,115,101,"0,53240740740741","0,46759259259259",0,2,-2
2015Innenstadt-West,2015,Innenstadt-West,221,118,103,"0,53393665158371","0,46606334841629",0,2,-2
2016Innenstadt-West,2016,Innenstadt-West,207,97,110,"0,46859903381643","0,53140096618357",0,2,-2
2007Südstadt,2007,Südstadt,415,200,215,"0,48192771084337","0,51807228915663",0,2,-2
2008Südstadt,2008,Südstadt,462,225,237,"0,48701298701299","0,51298701298701",0,2,-2
2009Südstadt,2009,Südstadt,477,246,231,"0,51572327044025","0,48427672955975",0,2,-2
2010Südstadt,2010,Südstadt,509,261,248,"0,51277013752456","0,48722986247544",0,2,-2
2011Südstadt,2011,Südstadt,526,273,253,"0,51901140684411","0,48098859315589",0,2,-2
2012Südstadt,2012,Südstadt,525,252,273,"0,48","0,52",0,2,-2
2013Südstadt,2013,Südstadt,560,277,283,"0,49464285714286","0,50535714285714",0,2,-2
2014Südstadt,2014,Südstadt,551,285,266,"0,51724137931034","0,48275862068966",0,2,-2
2015Südstadt,2015,Südstadt,612,307,305,"0,5016339869281","0,4983660130719",0,2,-2
2016Südstadt,2016,Südstadt,667,350,317,"0,52473763118441","0,47526236881559",0,2,-2
2007Südweststadt,2007,Südweststadt,625,320,305,"0,512","0,488",0,2,-2
2008Südweststadt,2008,Südweststadt,629,340,289,"0,54054054054054","0,45945945945946",0,2,-2
2009Südweststadt,2009,Südweststadt,651,363,288,"0,55760368663594","0,44239631336406",0,2,-2
2010Südweststadt,2010,Südweststadt,661,349,312,"0,52798789712557","0,47201210287443",0,2,-2
