"POI_GRP_id","POI_GRP_title","POI_GRP_lastUpdated"
"5076979ecadeaa31cea5e713","Alle Linien","2012-10-11T12:35:58Z"
"56334e3065e37c789c0e18f0","Beratungsstellen Arbeit und Leben","2016-06-23T07:58:21Z"
"56334e1b65e37c789c0e18ee","Beratungsstellen Ausländer/Migranten","2016-06-23T07:58:28Z"
"56334e6e65e37c789c0e18f4","Beratungsstellen bestimmte Personengruppen","2016-06-23T07:58:37Z"
"56334e4865e37c789c0e18f2","Beratungsstellen Gesundheit","2016-06-23T07:58:46Z"
"56334e8c65e37c789c0e18f6","Beratungsstellen Sucht/psychische Probleme","2016-06-23T07:58:53Z"
"508638facade9240ebfe7d41","Fahrradclubs",
"557ac62765e3d1dfed813939","Freizeitanlagen (Schach/Boule)","2015-06-18T06:57:11Z"
"5076bb78cade96d5d23668b1","Linie 1","2014-11-04T13:55:21Z"
"528a103f8012723f66b96f34","Linie 10 (SEV)","2014-08-01T13:26:11Z"
"5075674bcadebecfdcb8c628","Linie 2","2012-10-11T12:26:52Z"
"50757bb4cadebecfdcb8d01c","Linie 3",
"50757bcbcadebecfdcb8d047","Linie 4",
"5319d35d80121782e074ef8f","Linie 5",
"50757bf5cadebecfdcb8d093","Linie 6",
"50757c0acadebecfdcb8d0b4","Linie 8","2014-09-16T06:26:27Z"
"5289d3d08012723f66b96f2f","Linie S1/S11","2013-11-18T12:55:04Z"
"5076a877cadeaa31cea5f268","Linie S2",
"5076a8c7cadeaa31cea5f2b0","Linie S3","2012-10-11T12:36:35Z"
"5076a934cadeaa31cea5f341","Linie S31/S32","2014-09-16T06:47:52Z"
"5076aa91cadeaa31cea5f450","Linie S4","2016-12-12T07:41:54Z"
"5076ab82cadeaa31cea5f541","Linie S5",
"5076ac08cadeaa31cea5f598","Linie S51",
"5076ac60cadeaa31cea5f5e4","Linie S52",
"584e54d565e3aaff0bc16b98","Linie S7/S71","2016-12-12T07:46:25Z"
"584e562065e3aaff0bc16ba0","Linie S8/S81",
"53e3456580123b1be921844e","Schadstoffsammelstellen","2014-08-07T09:27:55Z"
"56334eb565e37c789c0e18f8","Sonstige Beratungsstellen","2015-11-06T10:23:51Z"
"58b9433e65e347e0f39bd2ae","Turmbergbahn","2017-03-03T10:24:36Z"
"51261ecacade6a9c017aacd7","3D-Objekte","2013-02-28T09:43:28Z"
"1069000","Allgemeinbildende Gymnasien","2012-11-30T13:58:24Z"
"1032000","Altglas-Container","2016-06-23T08:25:58Z"
"1058000","Apotheken","2012-07-09T13:04:28Z"
"1114000","Autoclubs","2012-10-08T08:42:40Z"
"1115000","Autoprüfstellen","2012-10-08T08:43:36Z"
"1083000","Autoverkehr","2012-07-09T08:47:26Z"
"1104000","Autovermietungen","2009-10-29T15:25:17Z"
"1108000","Autoverwertungen","2012-10-08T08:44:04Z"
"1001000","Bäder","2011-11-19T09:59:35Z"
"1065000","Banken / EC-Automaten","2012-10-08T09:11:07Z"
